city,country,lat,long
Mexico City,Mexico,19.4326,-99.1332
Cancún,Mexico,21.1619,-86.8515
Puerto Vallarta,Mexico,20.6565,-105.2114
Cabo San Lucas,Mexico,22.8928,-109.9152
San José,Costa Rica,9.9281,-84.0907
Liberia,Costa Rica,10.6341,-85.4398
Limón,Costa Rica,9.9913,-83.0415
Suchitoto,El Salvador,13.9328,-89.0251
Santa Ana,El Salvador,13.9778,-89.5639
Juayúa,El Salvador,13.8432,-89.7439
San Salvador,El Salvador,13.6981,-89.1915
Guatemala City,Guatemala,14.6349,-90.5069
Antigua,Guatemala,14.5573,-90.7332
Atitlán,Guatemala,14.6907,-91.2025
Tegucigalpa,Honduras,14.0607,-87.1825
San Pedro Sula,Honduras,15.5058,-88.0258
Granada,Nicaragua,11.9344,-85.9560
León,Nicaragua,12.4343,-86.8805
Masaya,Nicaragua,11.9704,-86.0886
Panama City,Panama,9.9824,-79.5199
Panama Viejo,Panama,9.0067,-79.4851
