city,month,avg_high_temp,avg_low_temp,rainy_days,total_rain_in
Mexico City,1,71,44,1.4,0.3
Mexico City,2,74,46,1.1,0.2
Mexico City,3,77,49,1.6,0.2
Mexico City,4,79,53,3.8,0.5
Mexico City,5,80,56,9.4,1.5
Mexico City,6,77,67,20.1,4.5
Mexico City,7,74,56,23.4,4.9
Mexico City,8,74,56,23.1,4.7
Mexico City,9,73,56,19.9,4.6
Mexico City,10,73,52,10.1,2
Mexico City,11,72,47,2.7,0.4
Mexico City,12,71,44,0.9,0.1
Cancún,1,81,67,5.9,1.9
Cancún,2,82,68,4.8,1.6
Cancún,3,83,70,4.2,1.2
Cancún,4,85,73,4.2,1.4
Cancún,5,87,76,7.3,2.8
Cancún,6,88,77,10.8,5.2
Cancún,7,90,77,10.1,3.4
Cancún,8,90,76,10.8,3.4
Cancún,9,89,75,14.4,5.3
Cancún,10,86,74,13,5.6
Cancún,11,84,71,7.8,3.4
Cancún,12,82,69,5.9,2
Puerto Vallarta,1,81,62,2.4,1.1
Puerto Vallarta,2,81,62,1.3,0.6
Puerto Vallarta,3,81,63,0.5,0.3
Puerto Vallarta,4,83,66,0.4,0.1
Puerto Vallarta,5,86,71,1.6,0.4
Puerto Vallarta,6,89,76,13.4,5.2
Puerto Vallarta,7,90,76,23.1,9.4
Puerto Vallarta,8,90,76,24.6,9.9
Puerto Vallarta,9,90,76,20.8,9.3
Puerto Vallarta,10,89,74,9.4,3.5
Puerto Vallarta,11,86,69,2.3,0.9
Puerto Vallarta,12,82,64,1.7,0.6
Cabo San Lucas,1,79,61,1.7,0.5
Cabo San Lucas,2,80,61,0.8,0.2
Cabo San Lucas,3,81,63,0.3,0.1
Cabo San Lucas,4,83,66,0.3,0
Cabo San Lucas,5,86,69,0.3,0
Cabo San Lucas,6,89,74,0.6,0.1
Cabo San Lucas,7,91,78,2.4,0.6
Cabo San Lucas,8,91,78,5.6,1.7
Cabo San Lucas,9,91,76,5.6,2.4
Cabo San Lucas,10,90,72,2,0.9
Cabo San Lucas,11,85,68,1.1,0.4
Cabo San Lucas,12,80,63,1.6,0.5
San José,1,78,64,3.3,1.1
San José,2,79,64,2.5,0.8
San José,3,80,64,2.5,0.7
San José,4,81,65,5.8,1.9
San José,5,79,65,11.6,4.8
San José,6,78,64,13.3,5.6
San José,7,78,65,12.7,4.7
San José,8,78,64,12.9,5.2
San José,9,77,63,14.6,6.2
San José,10,77,63,15.2,6.5
San José,11,77,64,10.8,4.4
San José,12,77,64,6.1,2.2
Liberia,1,92,75,0.3,0.1
Liberia,2,94,75,0.3,0.1
Liberia,3,95,75,0.4,0.1
Liberia,4,95,77,1.8,0.6
Liberia,5,92,77,8.2,3.9
Liberia,6,90,76,10.3,4.9
Liberia,7,90,76,7.9,3.1
Liberia,8,90,76,9.3,4.5
